Point ID,Point angle,X,Y
1,23.9523,3.114,1.383
2,29.2361,2.974,1.664
3,34.5199,2.808,1.931
4,39.8037,2.618,2.181
5,45.0875,2.406,2.413
6,50.3714,2.173,2.625
7,55.6552,1.923,2.814
8,60.939,1.655,2.979
9,66.2228,1.374,3.118
10,71.5066,1.081,3.232
11,76.7905,0.779,3.318
12,82.0743,0.47,3.375
13,87.3581,0.157,3.404
14,92.6419,-0.157,3.404
15,97.9257,-0.47,3.375
16,103.2095,-0.779,3.318
17,108.4934,-1.081,3.232
18,113.7772,-1.374,3.118
19,119.061,-1.655,2.979
20,124.3448,-1.923,2.814
21,129.6286,-2.173,2.625
22,134.9125,-2.406,2.413
23,140.1963,-2.618,2.181
24,145.4801,-2.808,1.931
25,150.7639,-2.974,1.664
26,156.0477,-3.114,1.383
